date,customer_id,product_id,sales_price,quantity,rating,origin_country,cost,profit
2018-05-24,725,88,805,1,4,USA,747.5877043892466,57.412295610753404
2018-10-09,368,23,631,5,1,Germany,555.8238341587681,75.17616584123186
2018-05-13,32,64,2639,1,2,Japan,2311.7136881113315,327.2863118886685
2018-07-06,694,78,1284,5,3,USA,1172.3507978534237,111.64920214657627
2018-08-08,981,94,2153,6,3,Kenya,2002.703949829817,150.29605017018298
2018-11-12,546,23,1945,1,1,Germany,1841.5651146768475,103.43488532315246
2018-09-10,988,10,1340,5,2,Japan,1118.7631127067389,221.23688729326113
2018-06-25,187,88,278,4,2,Germany,255.11654236760612,22.883457632393885
2018-04-17,92,12,2327,4,4,Germany,2135.009201967692,191.9907980323078
2018-07-16,362,53,217,1,4,USA,204.00343115156429,12.996568848435714
2018-07-19,889,94,2777,4,3,Japan,2395.5190339079822,381.48096609201775
2018-02-18,764,95,669,1,3,USA,599.1845396504517,69.81546034954829
2018-03-02,323,4,605,5,3,China,562.2232494469868,42.776750553013244
2018-10-22,487,35,401,6,1,China,358.01464406090554,42.98535593909446
2018-10-28,663,93,2951,1,1,Germany,2781.0039282635366,169.99607173646336
2018-10-18,148,97,179,4,2,Kenya,156.98165900412187,22.018340995878134
2018-08-24,848,8,3242,4,2,Kenya,3053.5707278120526,188.4292721879474
2018-11-09,377,85,2524,5,2,China,2377.2556918269847,146.74430817301527
2018-08-02,488,34,121,1,2,China,108.77063993225694,12.229360067743059
2018-09-20,85,11,2043,4,3,Kenya,1824.4038100505704,218.59618994942957
2018-03-14,711,79,1827,5,1,Kenya,1564.3838500553823,262.61614994461775
2018-07-14,593,15,1166,4,4,China,1035.3447239526681,130.65527604733188
2018-09-02,136,57,3968,2,4,Germany,3689.3114503883926,278.6885496116074
2018-02-17,647,20,3890,6,1,Kenya,3348.3702064490785,541.6297935509215
2018-08-14,480,98,1053,6,3,China,895.8036689965119,157.19633100348813
2018-11-19,151,43,3799,5,4,Germany,3301.863388910727,497.1366110892732
2018-02-17,863,12,3125,4,2,USA,2838.621827961096,286.3781720389038
2018-10-10,564,100,1268,5,1,Japan,1171.722875840722,96.27712415927795
2018-11-28,866,55,1811,3,3,Germany,1672.3221736087146,138.6778263912854
2018-06-16,433,96,2505,6,1,China,2328.559836360564,176.44016363943592
2018-01-07,718,97,1704,2,4,China,1572.1212144211017,131.87878557889826
2018-12-26,938,33,3068,2,3,Kenya,2904.1590369603446,163.84096303965543
2018-09-17,354,88,2790,1,2,Kenya,2560.9869210583956,229.01307894160436
2018-11-19,979,77,746,6,3,China,692.7452004269505,53.25479957304947
2018-06-19,823,92,1947,6,4,China,1744.531427669583,202.46857233041692
2018-09-03,150,92,2934,2,2,China,2667.366142900049,266.633857099951
2018-02-12,548,31,2854,3,2,Kenya,2393.0774291304733,460.9225708695267
2018-12-25,919,18,1870,3,3,USA,1579.5062684318054,290.49373156819456
2018-01-17,256,23,1553,5,2,China,1429.453789652182,123.54621034781803
2018-02-26,154,39,140,1,2,Kenya,128.03554766293422,11.96445233706578
2018-12-15,456,94,1789,2,2,USA,1495.210550967948,293.78944903205206
2018-05-10,252,66,1093,6,1,Kenya,979.237979344296,113.76202065570396
2018-04-19,237,61,2068,2,1,China,1815.2529909110256,252.74700908897444
2018-10-13,225,85,3826,3,1,Japan,3355.6294943517246,470.3705056482754
2018-04-02,355,8,312,3,3,Japan,283.75516738660644,28.244832613393555
2018-09-06,370,67,2894,1,1,USA,2735.199939801069,158.80006019893108
2018-07-18,318,7,3300,6,3,China,2809.54492135529,490.45507864470983
2018-07-19,983,6,592,4,2,Japan,547.0866023070654,44.91339769293461
2018-04-06,769,35,3905,2,1,China,3621.291401836788,283.7085981632122
2018-12-23,466,39,3189,6,1,Germany,2829.588844053401,359.41115594659914
2018-04-13,355,12,1107,5,4,Germany,1035.9330571656087,71.06694283439128
2018-01-27,493,38,1607,1,4,China,1362.2371179537004,244.76288204629964
2018-04-05,189,60,3308,2,3,Japan,2858.754518242656,449.2454817573439
2018-11-23,907,62,2768,5,1,Germany,2532.5578656093303,235.4421343906697
2018-08-17,620,83,1697,1,3,Germany,1460.4543185441355,236.5456814558645
2018-02-23,734,9,2048,4,2,USA,1924.3409602986444,123.6590397013556
2018-10-12,282,26,387,4,4,Japan,365.58539801808905,21.41460198191095
2018-03-09,346,28,2917,4,3,Japan,2544.4198959822875,372.58010401771253
2018-01-16,75,95,2839,4,3,Japan,2578.5839781022705,260.4160218977295
2018-01-25,915,39,2554,4,1,Japan,2378.5192017318077,175.4807982681923
2018-03-03,282,3,3460,6,2,Japan,2893.790106472487,566.209893527513
2018-02-27,183,91,2575,5,3,USA,2414.294339090152,160.70566090984812
2018-04-12,105,45,909,5,4,Japan,826.1637098701144,82.83629012988558
2018-01-06,739,98,1791,4,1,USA,1597.8629209925648,193.1370790074352
2018-03-28,814,30,940,2,1,Kenya,842.3060542501723,97.69394574982766
2018-08-27,919,90,3982,6,4,Germany,3686.937755492363,295.06224450763693
2018-12-15,847,5,1040,1,4,Japan,882.2867544665526,157.71324553344743
2018-03-28,126,14,1777,6,2,USA,1603.504176189983,173.4958238100171
2018-06-25,505,66,1334,4,1,Japan,1258.8408709006276,75.15912909937242
2018-12-28,380,51,3938,3,2,Germany,3462.9297847123835,475.0702152876165
2018-03-04,77,59,3391,3,4,China,2837.6839507335635,553.3160492664365
2018-12-12,408,10,3495,2,3,China,3018.208296150364,476.7917038496362
2018-08-16,518,19,1998,4,4,China,1883.980087939931,114.01991206006892
2018-09-12,413,47,484,1,1,Kenya,429.40455566327876,54.59544433672124
2018-11-10,765,94,122,6,3,USA,105.20863998225637,16.791360017743628
2018-08-27,125,34,2586,2,3,Japan,2453.7847399691927,132.21526003080726
2018-09-22,662,39,666,5,1,Germany,607.3498966479937,58.65010335200634
2018-05-10,821,60,3699,4,2,Japan,3252.5406493983232,446.45935060167676
